iter	Passed	Remaining
345	890	1682
346	891	1678
347	893	1673
348	894	1669
349	896	1665
350	897	1660
351	899	1656
352	901	1652
353	903	1648
354	905	1644
355	906	1640
356	908	1637
357	910	1633
358	912	1629
359	914	1626
360	916	1622
361	918	1618
362	920	1614
363	922	1611
364	923	1607
365	925	1603
366	927	1600
367	929	1596
368	931	1593
369	933	1589
370	934	1585
371	937	1582
372	939	1578
373	941	1575
374	943	1572
375	945	1568
376	946	1564
377	948	1561
378	950	1557
379	952	1554
380	954	1551
381	957	1548
382	959	1545
383	961	1542
384	963	1538
385	965	1535
386	967	1532
387	969	1529
388	971	1525
389	973	1523
390	975	1519
391	977	1516
392	979	1512
393	981	1509
394	983	1506
395	985	1503
396	987	1500
397	989	1496
398	991	1493
399	993	1490
400	995	1486
401	997	1483
402	999	1481
403	1001	1477
404	1003	1474
405	1006	1472
406	1008	1469
407	1010	1466
408	1012	1463
409	1014	1459
410	1016	1456
411	1018	1453
412	1020	1450
413	1023	1448
414	1024	1444
415	1026	1441
416	1028	1438
417	1031	1435
418	1033	1432
419	1035	1429
420	1037	1426
421	1039	1423
422	1041	1420
423	1043	1418
424	1046	1415
425	1048	1412
426	1049	1408
427	1051	1404
428	1053	1401
429	1055	1398
430	1056	1395
431	1058	1391
432	1060	1388
433	1062	1385
434	1064	1383
435	1066	1380
436	1069	1377
437	1071	1374
438	1073	1371
439	1075	1368
440	1076	1364
441	1078	1361
442	1081	1359
443	1083	1357
444	1085	1354
445	1088	1351
446	1089	1348
447	1092	1345
